법정동코드,법정동명,최하지역명
2600000000,부산광역시,부산광역시
2611000000,부산광역시 중구,중구
2611010100,부산광역시 중구 영주동,영주동
2611010200,부산광역시 중구 대창동1가,대창동1가
2611010300,부산광역시 중구 대창동2가,대창동2가
2611010400,부산광역시 중구 중앙동1가,중앙동1가
2611010500,부산광역시 중구 중앙동2가,중앙동2가
2611010600,부산광역시 중구 중앙동3가,중앙동3가
2611010700,부산광역시 중구 중앙동4가,중앙동4가
2611010800,부산광역시 중구 중앙동5가,중앙동5가
2611010900,부산광역시 중구 중앙동6가,중앙동6가
2611011000,부산광역시 중구 중앙동7가,중앙동7가
2611011100,부산광역시 중구 동광동1가,동광동1가
2611011200,부산광역시 중구 동광동2가,동광동2가
2611011300,부산광역시 중구 동광동3가,동광동3가
2611011400,부산광역시 중구 동광동4가,동광동4가
2611011500,부산광역시 중구 동광동5가,동광동5가
2611011600,부산광역시 중구 대청동1가,대청동1가
2611011700,부산광역시 중구 대청동2가,대청동2가
2611011800,부산광역시 중구 대청동3가,대청동3가
2611011900,부산광역시 중구 대청동4가,대청동4가
2611012000,부산광역시 중구 보수동1가,보수동1가
2611012100,부산광역시 중구 보수동2가,보수동2가
2611012200,부산광역시 중구 보수동3가,보수동3가
2611012300,부산광역시 중구 부평동1가,부평동1가
2611012400,부산광역시 중구 부평동2가,부평동2가
2611012500,부산광역시 중구 부평동3가,부평동3가
2611012600,부산광역시 중구 부평동4가,부평동4가
2611012700,부산광역시 중구 신창동1가,신창동1가
2611012800,부산광역시 중구 신창동2가,신창동2가
2611012900,부산광역시 중구 신창동3가,신창동3가
2611013000,부산광역시 중구 신창동4가,신창동4가
2611013100,부산광역시 중구 창선동1가,창선동1가
2611013200,부산광역시 중구 창선동2가,창선동2가
2611013300,부산광역시 중구 광복동1가,광복동1가
2611013400,부산광역시 중구 광복동2가,광복동2가
2611013500,부산광역시 중구 광복동3가,광복동3가
2611013600,부산광역시 중구 남포동1가,남포동1가
2611013700,부산광역시 중구 남포동2가,남포동2가
2611013800,부산광역시 중구 남포동3가,남포동3가
2611013900,부산광역시 중구 남포동4가,남포동4가
2611014000,부산광역시 중구 남포동5가,남포동5가
2611014100,부산광역시 중구 남포동6가,남포동6가
2614000000,부산광역시 서구,서구
2614010100,부산광역시 서구 동대신동1가,동대신동1가
2614010200,부산광역시 서구 동대신동2가,동대신동2가
2614010300,부산광역시 서구 동대신동3가,동대신동3가
2614010400,부산광역시 서구 서대신동1가,서대신동1가
2614010500,부산광역시 서구 서대신동2가,서대신동2가
2614010600,부산광역시 서구 서대신동3가,서대신동3가
2614010700,부산광역시 서구 부용동1가,부용동1가
2614010800,부산광역시 서구 부용동2가,부용동2가
2614010900,부산광역시 서구 부민동1가,부민동1가
2614011000,부산광역시 서구 부민동2가,부민동2가
2614011100,부산광역시 서구 부민동3가,부민동3가
2614011200,부산광역시 서구 토성동1가,토성동1가
2614011300,부산광역시 서구 토성동2가,토성동2가
2614011400,부산광역시 서구 토성동3가,토성동3가
2614011500,부산광역시 서구 아미동1가,아미동1가
2614011600,부산광역시 서구 아미동2가,아미동2가
2614011700,부산광역시 서구 토성동4가,토성동4가
2614011800,부산광역시 서구 토성동5가,토성동5가
2614011900,부산광역시 서구 초장동,초장동
2614012000,부산광역시 서구 충무동1가,충무동1가
2614012100,부산광역시 서구 충무동2가,충무동2가
2614012200,부산광역시 서구 충무동3가,충무동3가
2614012300,부산광역시 서구 남부민동,남부민동
2614012400,부산광역시 서구 암남동,암남동
2617000000,부산광역시 동구,동구
2617010100,부산광역시 동구 초량동,초량동
2617010200,부산광역시 동구 수정동,수정동
2617010300,부산광역시 동구 좌천동,좌천동
2617010400,부산광역시 동구 범일동,범일동
2620000000,부산광역시 영도구,영도구
2620010100,부산광역시 영도구 대교동1가,대교동1가
2620010200,부산광역시 영도구 대교동2가,대교동2가
2620010300,부산광역시 영도구 대평동1가,대평동1가
2620010400,부산광역시 영도구 대평동2가,대평동2가
